STAID,STATE,FIPS,LAT_DMS , LON_DMS,WELLDPTH  ,SAMPDATE ,SAMPTIME,AS_RMRK,AS_CONC,LAT_DD,LON_DD
16S,2S,6N,6S,7S,10N,9S,5S,1S,10N,12N,12N
4.32558E+14,NH,33017,432558,710250,13,2-Sep-82,1050,.,1,43.43278,71.04723
4.25546E+14,NH,33015,425546,710307,30,15-Apr-87,1400,<,1,42.92944,71.05194
4.3142E+14,NH,33017,431420,710308,14,26-Aug-87,1300,<,1,43.23888,71.05222
4.32321E+14,NH,33017,432319,710310,24,14-Aug-87,1400,<,1,43.38861,71.05278
4.3382E+14,NH,33003,433820,710319,49,5-Sep-92,1800,<,1,43.63889,71.05527
4.25742E+14,NH,33015,425742,710332,50,5-Dec-85,1530,<,1,42.96167,71.05889
4.32245E+14,NH,33017,432245,710333,22,24-Mar-87,1500,<,1,43.37917,71.05917
4.32738E+14,NH,33017,432738,710333,17.5,25-Aug-87,1730,<,1,43.46056,71.05917
4.25554E+14,NH,33015,425554,710335,62,9-Apr-87,1230,.,3,42.93166,71.05972
4.25439E+14,NH,33015,425439,710336,50,2-Sep-87,1300,.,4,42.91083,71.06
4.25347E+14,NH,33015,425347,710337,20,15-Apr-87,1200,.,1,42.89639,71.06028
4.25636E+14,NH,33015,425636,710338,55,6-Dec-85,1100,<,1,42.94334,71.06055
4.25544E+14,NH,33015,425544,710345,68,1-Sep-87,1600,.,2,42.92889,71.0625
4.25352E+14,NH,33015,425352,710349,25,15-Apr-87,1030,.,1,42.89778,71.06361
4.33909E+14,NH,33003,433909,710350,,6-Sep-92,1500,<,1,43.6525,71.06389
4.25445E+14,NH,33015,425445,710357,70,31-Aug-87,1300,<,1,42.9125,71.06583
4.31923E+14,NH,33017,431923,710416,11.2,3-Sep-82,930,.,1,43.32306,71.07111
4.42118E+14,NH,33007,442118,710421,19.3,5-Nov-91,1022,<,1,44.355,71.0725
4.25738E+14,NH,33015,425738,710441,55,6-Dec-85,1400,<,1,42.96056,71.07806
4.34221E+14,NH,33003,434221,710515,115,5-Sep-92,1600,<,1,43.70583,71.0875
4.4245E+14,NH,33007,442450,710523,40.7,5-Nov-91,1130,<,1,44.41389,71.08972
4.315E+14,NH,33017,431460,710526,35.5,26-Aug-87,1400,.,2,43.25,71.09055
4.32723E+14,NH,33017,432723,710527,14,2-Sep-82,1000,.,1,43.45639,71.09084
4.31511E+14,NH,33017,431507,710528,,14-Aug-87,1045,<,1,43.25195,71.09111
4.32351E+14,NH,33017,432351,710551,112,21-Aug-81,1500,.,5,43.3975,71.0975
4.20834E+14,MA,25021,420834,710607,,14-Sep-86,800,.,2,42.14278,71.10194
4.31406E+14,NH,33017,431212,710611,7.5,1-Sep-81,1420,.,1,43.20333,71.10306
4.31212E+14,NH,33017,431212,710611,7.5,3-Sep-82,1030,.,2,43.20333,71.10306
